"","title","artist","top genre","year","added","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop","country"
"1","Dance Monkey","Tones and I","australian pop",2019,"1969-12-31",98,59,82,-6,15,51,209,69,9,100,"world"
"2","ROXANNE","Arizona Zervas","pop rap",2019,"1969-12-31",117,60,62,-6,46,46,164,5,15,99,"world"
"3","Memories","Maroon 5","pop",2019,"1969-12-31",91,32,76,-7,8,57,189,84,5,99,"world"
"4","Circles","Post Malone","dfw rap",2019,"1969-12-31",120,76,70,-3,9,55,215,19,4,99,"world"
"5","All I Want for Christmas Is You","Mariah Carey","dance pop",1994,"1969-12-31",150,63,34,-7,7,35,241,16,4,98,"world"
"6","everything i wanted","Billie Eilish","electropop",2019,"1969-12-31",120,23,70,-14,11,24,245,90,10,98,"world"
"7","Falling","Trevor Daniel","alternative r&b",2018,"1969-12-31",127,43,78,-9,9,24,159,12,4,97,"world"
"8","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",2019,"1969-12-31",105,72,72,-7,24,67,222,3,7,97,"world"
"9","Don't Start Now","Dua Lipa","dance pop",2019,"1969-12-31",124,79,79,-5,10,68,183,1,8,97,"world"
"10","Tusa","KAROL G","latin",2019,"1969-12-31",101,72,80,-3,6,57,201,30,30,96,"world"
"11","Blinding Lights","The Weeknd","canadian contemporary r&b",2019,"1969-12-31",171,80,51,-4,9,35,202,0,6,96,"world"
"12","Someone You Loved","Lewis Capaldi","pop",2019,"1969-12-31",110,41,50,-6,11,45,182,75,3,96,"world"
"13","Santa Tell Me","Ariana Grande","dance pop",2014,"1969-12-31",192,62,53,-7,29,59,204,5,12,95,"world"
"14","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",1964,"1969-12-31",67,47,59,-9,51,90,126,61,5,93,"world"
"15","Jingle Bell Rock","Bobby Helms","adult standards",1992,"1969-12-31",120,42,75,-8,7,81,131,64,4,92,"world"
"16","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",1963,"1969-12-31",202,60,24,-8,12,78,152,77,4,92,"world"
"17","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",2010,"1969-12-31",147,61,33,-11,77,40,214,32,3,92,"world"
"18","Mistletoe","Justin Bieber","canadian pop",2011,"1969-12-31",162,56,66,-9,8,85,183,50,5,92,"world"
"19","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",1994,"1969-12-31",142,26,65,-13,36,84,155,90,6,91,"world"
"20","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",1980,"1969-12-31",95,51,77,-9,7,77,228,32,3,91,"world"
"21","The Christmas Song (Merry Christmas To You)","Nat King Cole","adult standards",1962,"1969-12-31",79,21,32,-15,14,21,192,92,3,89,"world"
"22","White Christmas","Bing Crosby","adult standards",1942,"1969-12-31",131,16,32,-16,34,25,177,67,4,89,"world"
"23","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","adult standards",1959,"1969-12-31",134,24,45,-14,18,70,117,91,4,89,"world"
"24","Have Yourself A Merry Little Christmas","Sam Smith","pop",2014,"1969-12-31",75,18,44,-9,32,34,171,96,4,89,"world"
"25","Señorita","Shawn Mendes","canadian pop",2019,"1969-12-31",117,55,76,-6,8,75,191,4,3,89,"world"
"26","Underneath the Tree","Kelly Clarkson","dance pop",2013,"1969-12-31",160,81,51,-5,21,69,230,0,5,88,"world"
"27","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como","adult standards",1999,"1969-12-31",113,28,73,-12,12,72,156,76,6,88,"world"
"28","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","album rock",1983,"1969-12-31",129,84,67,-4,11,84,126,61,3,88,"world"
"29","Christmas (Baby Please Come Home)","Mariah Carey","dance pop",1994,"1969-12-31",127,78,57,-7,11,70,153,2,3,88,"world"
"30","Do They Know It's Christmas? - 1984 Version","Band Aid",NA,2004,"1969-12-31",115,64,60,-7,10,35,223,16,4,87,"world"
"31","Blue Christmas","Elvis Presley","adult standards",1957,"1969-12-31",95,27,47,-17,14,58,129,90,4,87,"world"
"32","Run Rudolph Run - Single Version","Chuck Berry","blues rock",1986,"1969-12-31",152,72,68,-11,8,96,166,81,9,87,"world"
"33","Step Into Christmas","Elton John","glam rock",1973,"1969-12-31",140,93,53,-6,31,82,272,10,4,87,"world"
"34","Christmas Lights","Coldplay","permanent wave",2010,"1969-12-31",131,42,31,-9,8,24,242,13,3,87,"world"
"35","Santa Baby","Ariana Grande","dance pop",2013,"1969-12-31",96,78,75,-6,28,77,171,5,14,87,"world"
"36","Fairytale of New York (feat. Kirsty MacColl)","The Pogues","celtic punk",1988,"1969-12-31",119,65,32,-6,24,47,272,50,3,86,"world"
"37","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen","heartland rock",1981,"1969-12-31",140,67,36,-8,73,41,268,36,5,86,"world"
"38","Last Christmas","Wham!","new wave pop",1984,"1969-12-31",108,48,74,-12,36,95,263,19,3,85,"world"
"39","Feliz Navidad","José Feliciano","latin pop",2001,"1969-12-31",149,86,49,-7,35,96,182,53,4,85,"world"
"40","Santa Claus Is Coming To Town","The Jackson 5","adult standards",1970,"1969-12-31",147,76,69,-5,18,96,144,42,3,85,"world"
"41","It's Beginning to Look a Lot like Christmas","Michael Bublé","adult standards",2011,"1969-12-31",93,22,33,-11,34,36,207,88,3,84,"world"
"42","I Saw Mommy Kissing Santa Claus","The Jackson 5","adult standards",1970,"1969-12-31",129,71,58,-8,82,61,181,26,5,84,"world"
"43","My Only Wish (This Year)","Britney Spears","dance pop",2019,"1969-12-31",147,73,67,-7,20,68,255,23,3,84,"world"
"44","A Holly Jolly Christmas - Single Version","Burl Ives","adult standards",1998,"1969-12-31",140,37,67,-13,10,86,133,59,3,83,"world"
"45","Driving Home for Christmas - 2019 Remaster","Chris Rea","album rock",1987,"1969-12-31",180,58,51,-11,18,87,242,36,4,83,"world"
"46","Holly Jolly Christmas","Michael Bublé","adult standards",2011,"1969-12-31",151,43,61,-9,9,74,122,86,4,82,"world"
"47","Christmas (Baby Please Come Home)","Darlene Love","adult standards",2019,"1969-12-31",126,76,34,-7,8,36,166,39,5,82,"world"
"48","Sleigh Ride","The Ronettes","adult standards",2019,"1969-12-31",92,77,53,-7,32,85,181,40,3,77,"world"
"49","Santa Claus Is Coming to Town","Michael Bublé","adult standards",2011,"1969-12-31",123,40,59,-7,4,42,172,79,5,75,"world"
"50","Merry Christmas Everyone","Shakin' Stevens","new wave pop",1997,"1969-12-31",102,71,76,-10,8,96,224,16,3,69,"world"
"51","Dance Monkey","Tones and I","australian pop",2019,"1969-12-31",98,59,82,-6,15,51,209,69,9,100,"africa"
"52","Circles","Post Malone","dfw rap",2019,"1969-12-31",120,76,70,-3,9,55,215,19,4,99,"africa"
"53","Memories","Maroon 5","pop",2019,"1969-12-31",91,32,76,-7,8,57,189,84,5,99,"africa"
"54","ROXANNE","Arizona Zervas","pop rap",2019,"1969-12-31",117,60,62,-6,46,46,164,5,15,99,"africa"
"55","All I Want for Christmas Is You","Mariah Carey","dance pop",1994,"1969-12-31",150,63,34,-7,7,35,241,16,4,98,"africa"
"56","Santa Tell Me","Ariana Grande","dance pop",2014,"1969-12-31",192,62,53,-7,29,59,204,5,12,95,"africa"
"57","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",1964,"1969-12-31",67,47,59,-9,51,90,126,61,5,93,"africa"
"58","Jingle Bell Rock","Bobby Helms","adult standards",1992,"1969-12-31",120,42,75,-8,7,81,131,64,4,92,"africa"
"59","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",1963,"1969-12-31",202,60,24,-8,12,78,152,77,4,92,"africa"
"60","Mistletoe","Justin Bieber","canadian pop",2011,"1969-12-31",162,56,66,-9,8,85,183,50,5,92,"africa"
"61","Happy Xmas (War Is Over) - Remastered","John Lennon","album rock",2010,"1969-12-31",147,61,33,-11,77,40,214,32,3,92,"africa"
"62","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra","adult standards",1994,"1969-12-31",142,26,65,-13,36,84,155,90,6,91,"africa"
"63","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney","album rock",1980,"1969-12-31",95,51,77,-9,7,77,228,32,3,91,"africa"
